competition,season,round,venue,referee,date,kickoff_time,home_team,away_team,home_tries,away_tries,home_score,away_score
Nations Championship,2026,1,One New Zealand Stadium,Luke Pearce,2026-07-04,08:10,New Zealand,France,5,4,34,32
Nations Championship,2026,1,Prince Chichibu Memorial Rugby Stadium,Nic Berry,2026-07-04,09:40,Japan,Italy,3,1,27,10
Nations Championship,2026,1,Allianz Stadium Sydney,Ben O'Keeffe,2026-07-04,11:10,Australia,Ireland,5,5,31,33
Nations Championship,2026,1,Cardiff City Stadium,Eoghan Cross,2026-07-04,14:10,Fiji,Wales,3,6,24,39
Nations Championship,2026,1,Ellis Park Stadium,James Doleman,2026-07-04,16:40,South Africa,England,7,3,45,21
Nations Championship,2026,1,Estadio Mario Alberto Kempes,Nika Amashukeli,2026-07-04,20:10,Argentina,Scotland,5,7,38,47
Nations Championship,2026,2,Hnry Stadium,Luc Ramos,2026-07-11,06:10,New Zealand,Italy,7,2,47,17
Nations Championship,2026,2,Suncorp Stadium,Karl Dickson,2026-07-11,08:40,Australia,France,4,6,26,42
Nations Championship,2026,2,McDonald Jones Stadium,Andrea Piardi,2026-07-11,11:10,Japan,Ireland,2,5,20,36
Nations Championship,2026,2,Hill Dickinson Stadium,Hollie Davidson,2026-07-11,14:10,Fiji,England,1,11,8,73
Nations Championship,2026,2,Loftus Versfeld,Pierre Brousset,2026-07-11,16:40,South Africa,Scotland,6,4,42,28
Nations Championship,2026,2,Estadio San Juan del Bicentenario,Paul Williams,2026-07-11,20:10,Argentina,Wales,5,3,35,21
Nations Championship,2026,3,Eden Park,Nic Berry,2026-07-18,08:10,New Zealand,Ireland,,,,
Nations Championship,2026,3,National Olympic Stadium,Ben O'Keeffe,2026-07-18,09:40,Japan,France,,,,
Nations Championship,2026,3,HBF Park,Christophe Ridley,2026-07-18,11:10,Australia,Italy,,,,
Nations Championship,2026,3,Murrayfield,Matthew Carley,2026-07-18,14:10,Fiji,Scotland,,,,
Nations Championship,2026,3,Hollywoodbets Kings Park,Andrew Brace,2026-07-18,16:40,South Africa,Wales,,,,
Nations Championship,2026,3,Estadio Unico Madre de Ciudades,Angus Gardner,2026-07-18,20:10,Argentina,England,,,,
Nations Championship,2026,4,Aviva Stadium,,2026-11-06,20:10,Ireland,Argentina,,,,
Nations Championship,2026,4,Allianz Stadium Sydney,,2026-11-07,11:40,Italy,South Africa,,,,
Nations Championship,2026,4,Murrayfield,,2026-11-07,14:10,Scotland,New Zealand,,,,
Nations Championship,2026,4,Principality Stadium,,2026-11-07,16:40,Wales,Japan,,,,
Nations Championship,2026,4,Groupama Stadium,,2026-11-07,20:10,France,Fiji,,,,
Nations Championship,2026,4,Twickenham Stadium,,2026-11-08,15:10,England,Australia,,,,
Nations Championship,2026,5,Stade de France,,2026-11-13,20:10,France,South Africa,,,,
Nations Championship,2026,5,Stadio Luigi Ferraris,,2026-11-14,11:40,Italy,Argentina,,,,
Nations Championship,2026,5,Principality Stadium,,2026-11-14,14:10,Wales,New Zealand,,,,
Nations Championship,2026,5,Twickenham Stadium,,2026-11-14,16:40,England,Japan,,,,
Nations Championship,2026,5,Aviva Stadium,,2026-11-14,20:10,Ireland,Fiji,,,,
Nations Championship,2026,5,Murrayfield,,2026-11-15,15:10,Scotland,Australia,,,,
Nations Championship,2026,6,Twickenham Stadium,,2026-11-21,14:10,England,New Zealand,,,,
Nations Championship,2026,6,Murrayfield,,2026-11-21,14:10,Scotland,Japan,,,,
Nations Championship,2026,6,Aviva Stadium,,2026-11-21,16:40,Ireland,South Africa,,,,
Nations Championship,2026,6,Bluenergy Stadium,,2026-11-21,16:40,Italy,Fiji,,,,
Nations Championship,2026,6,Stade de France,,2026-11-21,20:10,France,Argentina,,,,
Nations Championship,2026,6,Principality Stadium,,2026-11-21,20:10,Wales,Australia,,,,